ID Cliente;Fecha de Inscripción;Hora de Inscripción;Fecha de Vencimiento;Duración (meses);Plan de Membresía
P1235;15/02/2024;08:00:00;15/04/2024;2;Básico
P1240;10/04/2024;09:00:00;10/09/2024;5;Premium
P1247;28/06/2024;10:00:00;28/09/2024;3;Avanzado
P1250;23/05/2024;11:00:00;23/07/2024;2;Básico
P1242;07/08/2024;12:00:00;07/01/2025;5;Premium
P1253;19/02/2024;13:00:00;19/04/2024;2;Básico
P1299;30/04/2024;14:00:00;30/07/2024;3;Avanzado
P1258;11/03/2024;08:00:00;11/05/2024;2;Básico
P1279;20/07/2024;09:00:00;20/12/2024;5;Premium
P1304;04/06/2024;10:00:00;04/09/2024;3;Avanzado
P1259;06/02/2024;11:00:00;06/05/2024;2;Básico
P1243;25/08/2024;12:00:00;25/01/2025;5;Premium
P1289;07/04/2024;13:00:00;07/07/2024;3;Avanzado
P1290;15/03/2024;14:00:00;15/05/2024;2;Básico
P1277;22/05/2024;08:00:00;22/10/2024;5;Premium
P1269;13/08/2024;09:00:00;13/11/2024;3;Avanzado
P1241;06/01/2024;10:00:00;06/04/2024;2;Básico
P1266;29/05/2024;11:00:00;29/10/2024;5;Premium
P1246;22/06/2024;12:00:00;22/11/2024;3;Avanzado
P1255;05/07/2024;13:00:00;05/09/2024;2;Básico
P1308;04/03/2024;14:00:00;04/06/2024;2;Básico
P1282;02/06/2024;08:00:00;02/08/2024;2;Básico
P1245;15/07/2024;09:00:00;20/12/2024;5;Premium

