Ingresos: Ingresos, Egresos: Egresos
Ingresos: 8270, Egresos: 4617
Ingresos: 1860, Egresos: 3404
Ingresos: 6390, Egresos: 974
Ingresos: 6191, Egresos: 1582
Ingresos: 6734, Egresos: 3058
Ingresos: 7265, Egresos: 2547
Ingresos: 1466, Egresos: 3247
Ingresos: 5426, Egresos: 1475
Ingresos: 6578, Egresos: 2306
Ingresos: 9322, Egresos: 689
Ingresos: 2685, Egresos: 3234
Ingresos: 1769, Egresos: 3505
Ingresos: 7949, Egresos: 2399
Ingresos: 3433, Egresos: 1767
Ingresos: 6311, Egresos: 2028
Ingresos: 6051, Egresos: 3702
Ingresos: 7420, Egresos: 4056
Ingresos: 2184, Egresos: 4390
Ingresos: 5555, Egresos: 1146
Ingresos: 4385, Egresos: 3388
